name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
UBERON:0008953 ATAC-seq,.,ATAC-seq,UBERON:0008953,lower lobe of left lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0008971 ATAC-seq,.,ATAC-seq,UBERON:0008971,left colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0010414 ATAC-seq,.,ATAC-seq,UBERON:0010414,omental fat pad,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0011907 ATAC-seq,.,ATAC-seq,UBERON:0011907,gastrocnemius medialis,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0015143 ATAC-seq,.,ATAC-seq,UBERON:0015143,mesenteric fat pad,tissue,adult,encode,paired,False,OutputType.ATAC,,,
LQhCAGE CL:0000077,+,LQhCAGE,CL:0000077,mesothelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000136,+,LQhCAGE,CL:0000136,fat cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000767,+,LQhCAGE,CL:0000767,basophil,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000771,+,LQhCAGE,CL:0000771,eosinophil,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000775,+,LQhCAGE,CL:0000775,neutrophil,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000784,+,LQhCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000840,+,LQhCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0000895,+,LQhCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002092,+,LQhCAGE,CL:0002092,bone marrow cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002166,+,LQhCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002167,+,LQhCAGE,CL:0002167,olfactory epithelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002193,+,LQhCAGE,CL:0002193,myelocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002397,+,LQhCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,,fantom,,,OutputType.CAGE,,,
LQhCAGE CL:0002677,+,LQhCAGE,CL:0002677,naive regulatory T cell,primary_cell,,fantom,,,OutputType.CAGE,,,
